udise_code,school_name
27201006905,Parvati English Medium School Naitale
27201008807,Pimpalgaon High School Pimpalgaon B
27201008716,Pimpamgaon High School Pimpalgaon Baswant
27201007930,Podar International School Ozar
27201013802,Pri. Ashram School Sawargaon
27201008712,Radiant International School For Excellence Pimpalgaon Baswant
27201007929,Ryan International School Ozar
27201007008,Sadguru English Medium School Nandur Madhyameshwar
27201012812,Samarth Prathamik Vidyalaya Vinchur
27201005812,Sanskar English Medium School Lasalgaon
27201004902,Sant Janardan Swami Vidyalaya (Gurukul) Khede
27201005802,"Saraswati Vidyamandir, Lasalgaon"
27201005813,"Saraswati Madhyamik Vidhyalaya, Lasalgaon"
27201007609,Saraswati Vidyalaya Niphad
27201012002,"Seventh Day Lasalgaon, Takali Vinchur"
27201009203,Shri Chhatrapati Shivaji Maharaj Sec & Higher Sec School Kakanagar
27201009704,Shrimahiman International School Niphad
27201013302,Smt Anu.Madyamik Vid And Loknete Khanderao Govind Sanap Ucch Madhyamik Vid Varhedarna
27201005502,Swa.Vivekananad Vid Kundewadi
27201005302,Swatantray Veer Savarkar Vidyalaya Kothure
27201001704,Universal English Medium School Chitegaon
27201008804,Urdu High School Pimpalgaon
27201007608,Vainateya Madyamik Vidyalaya Niphad
27201007604,"Vainateya Prathamik, Niphad"
27201003905,Vidya Valley Public School Kasabe Sukene
27201007925,Vishwasattya Arts Com College Ozar
27201001902,Yogeshwar Vidyalaya Dawachwadi
27201004405,Yogiraj Tukaram Baba Gurukul Khedale Zunge
27201012809,Z P.School Aranaishwar Vinchur
27201012808,Z P.School Kurushnwadi Vinchur
27201008201,Z. P. School Pachore Budruk
27201008203,Z. P. School Pratap Sagar
27201000301,Z.P. Pri School Aurangpur
27201007916,Z.P. School Ozar Township
27201008602,Z.P. School Bhausaheb Nagar
27201003901,Z.P. School Kasabe Sukene
27201006902,Z.P. School Naitale
27201007402,Z.P. School Nandur Khurd
27201007902,Z.P. School Ozar Boys
27201007903,Z.P. School Ozar Girls
27201009502,Z.P. School Rui
27201010401,Z.P. School Shingave
27201012502,Z.P. School Ugaon
27201005810,Z.P. Urdu School Lasalgaon
27201003801,Z.P.Pri School Kanlad
27201011101,Z.P.Sch Bagalwadi (Shrirampur)
27201010901,Z.P.Sch Kolwadi (Shriramnagar)
27201002502,Z.P.School Dongarwadi (Darnasangi)
27201007007,Z.P.School Durganagar (Nandur M)
27201007006,Z.P.School Janardhan Nagar (N M)
27201011502,Z.P.School Karewasti Songaon
27201008105,Z.P.School Khairewasti (Pal)
27201011304,Z.P.School Malwasti (S B)
27201012507,Z.P.School Mapari Wast (Ugaon)
27201012602,Z.P.School Mhasobawasti (Vavi T)
27201002203,Z.P.School Nikamwasti (D V)
27201007003,"Z.P.School , Shindewasti"
27201000101,Z.P.School Ahergaon
27201007610,Z.P.School Ahilyadevinagar
27201009101,Z.P.School Ambewadi (Rampur)
27201000201,Z.P.School Antarveli
27201010503,Z.P.School Argadewasti
27201012402,Z.P.School Atharevasti
27201000601,Z.P.School Banganganagar
27201009903,Z.P.School Barad Vasti
27201000902,Z.P.School Baradwasti (B V)
27201003903,Z.P.School Begharvasti Kasabe Sukene
27201013403,Z.P.School Begharwasti (Van)
27201000701,Z.P.School Behed
27201007905,Z.P.School Bhadake Wasti
27201001607,Z.P.School Bhairavnathnagar
27201000401,Z.P.School Bharvas
27201008801,Z.P.School Bhaunagar
27201002102,Z.P.School Bhavani Nagar
27201001101,Z.P.School Bhendali No 1
27201000501,Z.P.School Bhuse
27201001201,Z.P.School Bokaddare
27201009902,Z.P.School Boraste Vasti
27201004402,Z.P.School Bormatha
27201000901,Z.P.School Brahamangaon (V)
27201000801,Z.P.School Brahamangaon Vi
27201001001,Z.P.School Brahamanwade
27201001603,Z.P.School Chandori
27201001501,Z.P.School Chapadgaon
27201001401,Z.P.School Chatori
27201012803,Z.P.School Chavan Vasti
27201001301,Z.P.School Chehadi
27201001701,Z.P.School Chetegaon
27201003906,Z.P.School Dagadkhan Kasabe Sukene
27201002001,Z.P.School Dahegaon
27201002501,Z.P.School Darana Sangvi
27201000402,Z.P.School Dattanagar
27201001801,Z.P.School Datyane
27201001901,Z.P.School Dawachwadi
27201002101,Z.P.School Devgaon
27201002104,Z.P.School Devgaonphata
27201008706,Z.P.School Devicha Matha
27201002401,Z.P.School Devpur
27201002601,Z.P.School Dhanore
27201002301,Z.P.School Dharangaon Khadak
27201002201,Z.P.School Dharangaon Veer
27201002801,Z.P.School Dikshi
27201002701,Z.P.School Dindori
27201002901,Z.P.School Dongargaon
27201007105,Z.P.School Fugatwasti (Nandurdi)
27201001606,Z.P.School Gadakwasti
27201007908,Z.P.School Gadekarwasti
27201003001,Z.P.School Gajarwadi
27201001402,Z.P.School Gangawadi
27201001403,Z.P.School Ganpeerwadi
27201011202,Z.P.School Gavthanwasti (Shimpi T)
27201010202,Z.P.School Godanagar
27201003301,Z.P.School Golegaon
27201003101,Z.P.School Gondegaon
27201003201,Z.P.School Gondegaon
27201003401,Z.P.School Gorthan
27201005104,Z.P.School Haiwaybaradwasti (Kok)
27201001105,Z.P.School Halotichmatha(Bhe. No 1)
27201003501,Z.P.School Hanumannagar
27201003203,Z.P.School Jagdalewasti
27201008104,Z.P.School Jagzapwasti (Pal)
27201001604,Z.P.School Jai Durganagar
27201003601,Z.P.School Jalgaon
27201003701,Z.P.School Jivale
27201009202,Z.P.School Kakanagar
27201004101,Z.P.School Karanjgaon
27201004001,Z.P.School Karanji Khurd
27201004601,Z.P.School Karsul
27201004403,Z.P.School Karwadi
27201004201,Z.P.School Kathargaon
27201004801,Z.P.School Khadak Malegaon
27201000302,Z.P.School Khalkarwasti(Bhe. No 2)
27201004701,Z.P.School Khangaon Nazik
27201004501,Z.P.School Khangaon Thadi
27201007103,Z.P.School Khaprewasti (Nandurdi)
27201004401,Z.P.School Khedale Zunge
27201004901,Z.P.School Khede
27201004301,Z.P.School Kherwadi Taluka Niphad
27201005101,Z.P.School Kokangaon
27201005001,Z.P.School Kolgaon
27201005201,Z.P.School Kotamgaon
27201005301,Z.P.School Kothure
27201005303,Z.P.School Kothurephata
27201005401,Z.P.School Kumbhari
27201005501,Z.P.School Kundewadi
27201003202,Z.P.School Kuran Vasti
27201005601,Z.P.School Kurudgaon
27201010204,Z.P.School Kutewasti Saikheda
27201005701,Z.P.School Lalpadi
27201005801,Z.P.School Lasalgaon
27201012001,Z.P.School Lasalgaon Station Takali Vinchur
27201001405,Z.P.School Limbalvanwasti (Chatori)
27201005901,Z.P.School Lonwadi
27201006001,Z.P.School Mahadevnagar
27201006801,Z.P.School Mahajanpur
27201005002,Z.P.School Malchari
27201012804,Z.P.School Mali Vasti
27201011002,Z.P.School Malwadi
27201006301,Z.P.School Manjargaon
27201006401,Z.P.School Manori Khurd
27201006402,Z.P.School Manori Phata (M K)
27201006101,Z.P.School Maralgoi Budruk
27201006201,Z.P.School Maralgoi Khurd
27201006501,Z.P.School Mauje Sukene
27201006601,Z.P.School Mhalsakore
27201006701,Z.P.School Mukhed
27201007501,Z.P.School Nagapur
27201007201,Z.P.School Nandgaon
27201007001,Z.P.School Nandur Madhameshywar
27201007101,Z.P.School Nandurdi
